ID,genres,,,,,,,,,,
410,drama, crime, romance, comedy,,,,,,,
411,action, western, drama, romance, comedy,,,,,,
412,thriller, crime,,,,,,,,,
413,drama,,,,,,,,,,
414,romance, comedy,,,,,,,,,
415,western, comedy, music, romance,,,,,,,
416,drama,,,,,,,,,,
417,romance, action, drama, sport,,,,,,,
418,drama, sport,,,,,,,,,
419,comedy, music,,,,,,,,,
420,western, action, music,,,,,,,,
421,western, action, music,,,,,,,,
422,drama,,,,,,,,,,
423,comedy,,,,,,,,,,
424,western, action,,,,,,,,,
425,western, action, music, romance, comedy,,,,,,
426,comedy,,,,,,,,,,
427,drama, war, thriller,,,,,,,,
428,crime, comedy, romance,,,,,,,,
429,crime, drama, romance, war,,,,,,,
430,history, war, documentation,,,,,,,,
431,comedy, romance, war,,,,,,,,
432,comedy, romance,,,,,,,,,
433,drama, action, war,,,,,,,,
434,drama, crime,,,,,,,,,
435,crime, thriller, drama, action,,,,,,,
436,western, drama,,,,,,,,,
437,action, drama, western, crime, romance, sport,,,,,
438,comedy, drama, sport,,,,,,,,
439,drama, crime, romance, thriller,,,,,,,
440,western, action, music,,,,,,,,
441,drama, romance, sport, crime,,,,,,,
442,western, drama, romance, action,,,,,,,
443,comedy, romance,,,,,,,,,
444,western,,,,,,,,,,
445,romance, drama,,,,,,,,,
446,action,,,,,,,,,,
447,drama,,,,,,,,,,
448,comedy, crime, family,,,,,,,,
449,thriller, romance,,,,,,,,,
450,action, drama, romance, thriller, war,,,,,,
451,drama, comedy,,,,,,,,,
452,crime, comedy, drama,,,,,,,,
453,thriller,,,,,,,,,,
454,drama, action,,,,,,,,,
455,drama, romance, crime,,,,,,,,
456,crime, drama, romance,,,,,,,,
457,western, comedy,,,,,,,,,
458,western,,,,,,,,,,
459,western, music, action,,,,,,,,
460,comedy, drama,,,,,,,,,
461,drama, comedy, romance,,,,,,,,
462,romance, crime, comedy,,,,,,,,
463,comedy,,,,,,,,,,
464,comedy, drama, western, action, romance,,,,,,
465,drama, comedy,,,,,,,,,
466,drama, romance,,,,,,,,,
467,thriller, action, crime, family,,,,,,,
468,crime, drama, romance, action,,,,,,,
469,action,,,,,,,,,,
470,romance, drama,,,,,,,,,
471,comedy, music, romance,,,,,,,,
472,crime,,,,,,,,,,
473,romance, drama,,,,,,,,,
474,drama, romance,,,,,,,,,
475,comedy, western, action, drama, music,,,,,,
476,crime, family, action, drama,,,,,,,
477,crime, drama, romance, thriller, comedy,,,,,,
478,drama,,,,,,,,,,
479,thriller, comedy,,,,,,,,,
480,western,,,,,,,,,,
481,western,,,,,,,,,,
482,drama,,,,,,,,,,
483,romance, comedy,,,,,,,,,
484,drama,,,,,,,,,,
485,thriller, drama,,,,,,,,,
486,western, action, romance, drama,,,,,,,
487,drama, comedy,,,,,,,,,
488,western, romance,,,,,,,,,
489,western, action, music, romance,,,,,,,
490,western, drama, action,,,,,,,,
491,thriller, crime,,,,,,,,,
492,drama, music,,,,,,,,,
493,western,,,,,,,,,,
494,crime, comedy, drama, romance, sport,,,,,,
495,drama,,,,,,,,,,
496,drama, romance,,,,,,,,,
497,thriller,,,,,,,,,,
498,comedy, crime, drama, romance,,,,,,,
499,thriller, drama, crime,,,,,,,,
500,western, action, drama,,,,,,,,
501,crime, drama, romance,,,,,,,,
502,western, music, action,,,,,,,,
503,crime,,,,,,,,,,
504,drama,,,,,,,,,,
505,comedy,,,,,,,,,,
506,western, music,,,,,,,,,
507,drama,,,,,,,,,,
508,western, action, romance,,,,,,,,
509,comedy, romance, action,,,,,,,,
510,western, music, action,,,,,,,,
511,western, action,,,,,,,,,
512,comedy,,,,,,,,,,
513,western,,,,,,,,,,
514,drama, romance,,,,,,,,,
515,drama, action, romance,,,,,,,,
516,western, comedy, action,,,,,,,,
517,crime, drama,,,,,,,,,
518,romance, action, drama,,,,,,,,
519,romance, war, drama,,,,,,,,
520,comedy, music, romance, drama,,,,,,,
521,drama,,,,,,,,,,
522,crime, drama,,,,,,,,,
523,comedy, romance,,,,,,,,,
524,crime, romance, drama,,,,,,,,
525,documentation,,,,,,,,,,
526,western, music, action,,,,,,,,
527,western, action, music, crime,,,,,,,
528,drama,,,,,,,,,,
529,drama,,,,,,,,,,
530,comedy, drama,,,,,,,,,
531,drama, romance, war,,,,,,,,
532,western, action, romance,,,,,,,,
533,romance, action, music,,,,,,,,
534,action, family, drama, war,,,,,,,
535,drama, action, war,,,,,,,,
536,crime, drama,,,,,,,,,
537,drama, romance,,,,,,,,,
538,drama, romance, action, crime,,,,,,,
539,drama,,,,,,,,,,
540,romance, drama,,,,,,,,,
541,drama, romance, war, action, comedy,,,,,,
542,comedy, romance,,,,,,,,,
543,western,,,,,,,,,,
544,thriller, crime, drama,,,,,,,,
545,romance, comedy,,,,,,,,,
546,drama,,,,,,,,,,
547,drama, war, history, romance,,,,,,,
548,thriller, romance, crime, music,,,,,,,
549,western, romance, comedy,,,,,,,,
550,drama,,,,,,,,,,
551,western, drama, romance,,,,,,,,
552,western, music,,,,,,,,,
553,western,,,,,,,,,,
554,documentation, war,,,,,,,,,
555,drama, romance,,,,,,,,,
556,drama, thriller, comedy, romance,,,,,,,
557,western, action, drama, romance,,,,,,,
558,comedy, drama, action,,,,,,,,
559,drama, action,,,,,,,,,
560,drama,,,,,,,,,,
561,action, family, thriller, crime, drama,,,,,,
562,drama, action, western,,,,,,,,
563,thriller, comedy, drama, action,,,,,,,
564,romance, comedy, sport,,,,,,,,
565,comedy, family,,,,,,,,,
566,comedy,,,,,,,,,,
567,western, action, romance,,,,,,,,
568,western, action,,,,,,,,,
569,drama,,,,,,,,,,
570,thriller, comedy, crime,,,,,,,,
571,comedy,,,,,,,,,,
572,crime, drama, romance, action,,,,,,,
573,drama, war,,,,,,,,,
574,drama,,,,,,,,,,
575,drama, action, crime,,,,,,,,
576,western,,,,,,,,,,
577,western, music, action,,,,,,,,
578,crime, comedy, drama, romance, sport, action,,,,,
579,western, romance, comedy, action, music,,,,,,
580,action, war, drama,,,,,,,,
581,western, action,,,,,,,,,
582,,,,,,,,,,,
583,romance, comedy, drama, thriller,,,,,,,
584,western, action, romance,,,,,,,,
585,western, drama, music, action,,,,,,,
586,crime, romance, drama,,,,,,,,
587,comedy, family, music,,,,,,,,
588,drama, western, comedy, romance, action,,,,,,
589,western,,,,,,,,,,
590,drama, romance,,,,,,,,,
591,romance, action, drama,,,,,,,,
592,music, comedy, drama,,,,,,,,
593,crime, drama,,,,,,,,,
594,comedy,,,,,,,,,,
595,western, drama, action,,,,,,,,
596,western, romance,,,,,,,,,
597,action, comedy, music, romance,,,,,,,
598,action, drama,,,,,,,,,
599,thriller, action, drama,,,,,,,,
600,comedy,,,,,,,,,,
601,western, war,,,,,,,,,
602,drama, comedy, western,,,,,,,,
603,western, romance, action,,,,,,,,
604,comedy, music, romance,,,,,,,,
605,western, romance, action, music,,,,,,,
606,western, music, action, comedy,,,,,,,
607,western, romance, drama,,,,,,,,
608,action, history, romance, war,,,,,,,
609,western,,,,,,,,,,
610,western, romance, action,,,,,,,,
611,drama, music, romance, comedy,,,,,,,
612,western,,,,,,,,,,
613,western, action, comedy, music,,,,,,,
614,romance, drama,,,,,,,,,
615,comedy,,,,,,,,,,
616,western, comedy, drama, action,,,,,,,
617,crime, drama,,,,,,,,,
618,drama, romance,,,,,,,,,
619,comedy, music,,,,,,,,,
620,thriller, crime,,,,,,,,,
621,western, comedy, drama, action,,,,,,,
622,crime, romance, comedy,,,,,,,,
623,western, drama, action,,,,,,,,
624,western, action, romance,,,,,,,,
625,western, action, drama, music,,,,,,,
626,comedy,,,,,,,,,,
627,action, western,,,,,,,,,
628,romance, music,,,,,,,,,
629,action, romance, drama,,,,,,,,
630,western, action, drama,,,,,,,,
631,western, action,,,,,,,,,
632,western, action, crime, romance,,,,,,,
633,western,,,,,,,,,,
634,drama, crime, thriller,,,,,,,,
635,drama,,,,,,,,,,
636,western, comedy, music, romance, action,,,,,,
637,western, music, romance, action, comedy,,,,,,
638,western, action, drama, music,,,,,,,
639,romance, drama, documentation,,,,,,,,
640,drama,,,,,,,,,,
641,,,,,,,,,,,
642,thriller,,,,,,,,,,
643,romance, drama, music,,,,,,,,
644,western,,,,,,,,,,
645,western, drama, action,,,,,,,,
646,drama, western, music, action,,,,,,,
647,comedy, romance,,,,,,,,,
648,western,,,,,,,,,,
649,western,,,,,,,,,,
650,western, crime, romance, action,,,,,,,
651,drama, sport, crime, romance,,,,,,,
652,crime, drama,,,,,,,,,
653,documentation, war,,,,,,,,,
654,crime, thriller, drama,,,,,,,,
655,western, action, romance,,,,,,,,
656,war, action, drama, romance,,,,,,,
657,romance, comedy, drama,,,,,,,,
658,comedy, romance,,,,,,,,,
659,romance, crime, drama, thriller,,,,,,,
660,western, action, music,,,,,,,,
661,drama, romance, crime,,,,,,,,
662,crime, drama, romance,,,,,,,,
663,drama, crime, romance, sport, action,,,,,,
664,western, romance, action,,,,,,,,
665,comedy,,,,,,,,,,
666,drama, crime, thriller,,,,,,,,
667,western, comedy, romance, action,,,,,,,
668,comedy,,,,,,,,,,
669,drama, crime, romance,,,,,,,,
670,comedy, drama, romance,,,,,,,,
671,action, drama, crime,,,,,,,,
672,romance, drama,,,,,,,,,
673,drama,,,,,,,,,,
674,thriller, action, drama,,,,,,,,
675,drama,,,,,,,,,,
676,western, romance, action,,,,,,,,
677,drama, romance, action,,,,,,,,
678,western, action, comedy, drama,,,,,,,
679,western, romance,,,,,,,,,
680,drama, comedy, music,,,,,,,,
681,action, romance, western,,,,,,,,
682,drama,,,,,,,,,,
683,western, action,,,,,,,,,
684,comedy, drama, romance, action,,,,,,,
685,action, music, western,,,,,,,,
686,documentation, comedy,,,,,,,,,
687,western, action, romance,,,,,,,,
688,western, action,,,,,,,,,
689,western, action, drama, music,,,,,,,
690,western,,,,,,,,,,
691,western, action, crime, drama, music, comedy,,,,,
692,romance, comedy, drama,,,,,,,,
693,action, drama, romance,,,,,,,,
694,drama, action,,,,,,,,,
695,,,,,,,,,,,
696,western, action,,,,,,,,,
697,western, drama, music, action, comedy,,,,,,
698,western, comedy, music, action,,,,,,,
699,scifi, action, drama, romance,,,,,,,
700,western,,,,,,,,,,
701,western, comedy, music, romance, action,,,,,,
702,western, action, drama, music, romance,,,,,,
703,crime, action, drama, romance,,,,,,,
704,western, history, war,,,,,,,,
705,drama, action,,,,,,,,,
706,western,,,,,,,,,,
707,western,,,,,,,,,,
708,drama, crime,,,,,,,,,
709,drama,,,,,,,,,,
710,romance, drama, sport, family,,,,,,,
711,thriller, action, crime, drama,,,,,,,
712,comedy, thriller,,,,,,,,,
713,western, action,,,,,,,,,
714,western, action, music, romance, war,,,,,,
715,comedy,,,,,,,,,,
716,drama, history,,,,,,,,,
717,drama, romance,,,,,,,,,
718,drama, action, western, romance,,,,,,,
719,drama, crime,,,,,,,,,
720,drama, romance,,,,,,,,,
721,drama, crime,,,,,,,,,
722,thriller, crime, drama,,,,,,,,
723,drama, romance,,,,,,,,,
724,drama,,,,,,,,,,
725,thriller, romance, comedy, crime,,,,,,,
726,western, drama, action,,,,,,,,
727,western,,,,,,,,,,
728,western, romance, action, crime,,,,,,,
729,drama, crime,,,,,,,,,
730,action, romance, crime,,,,,,,,
731,comedy, romance,,,,,,,,,
732,documentation,,,,,,,,,,
733,western, drama, music, action,,,,,,,
734,western,,,,,,,,,,
735,drama, crime, romance, thriller,,,,,,,
736,drama, music, romance,,,,,,,,
737,drama, romance, comedy, crime,,,,,,,
738,drama, crime,,,,,,,,,
739,western, crime, romance, action,,,,,,,
740,comedy, romance,,,,,,,,,
741,western,,,,,,,,,,
742,western,,,,,,,,,,
743,action, crime, romance,,,,,,,,
744,western, comedy, drama, action,,,,,,,
745,western,,,,,,,,,,
746,crime, drama,,,,,,,,,
747,western, drama, romance,,,,,,,,
748,thriller, action, crime, romance,,,,,,,
749,drama, western, action,,,,,,,,
750,western, action,,,,,,,,,
751,action,,,,,,,,,,
752,thriller,,,,,,,,,,
753,action, western, romance,,,,,,,,
754,western, romance, action,,,,,,,,
755,western, drama, romance, action,,,,,,,
756,western, comedy, drama, action, music,,,,,,
757,drama,,,,,,,,,,
758,western, romance,,,,,,,,,
759,comedy, music,,,,,,,,,
760,thriller, crime, drama,,,,,,,,
761,drama, comedy,,,,,,,,,
762,drama, music,,,,,,,,,
763,western, music, comedy, drama, action,,,,,,
764,crime, drama,,,,,,,,,
765,western, action, music, romance,,,,,,,
766,drama, crime, action,,,,,,,,
767,drama, action, comedy, crime,,,,,,,
768,western, action, romance,,,,,,,,
769,thriller, crime, romance,,,,,,,,
770,drama,,,,,,,,,,
771,western, romance, drama, action,,,,,,,
772,crime, action, drama,,,,,,,,
773,western, action, music, comedy,,,,,,,
774,western,,,,,,,,,,
775,comedy, drama,,,,,,,,,
776,drama,,,,,,,,,,
777,comedy,,,,,,,,,,
778,action, western,,,,,,,,,
779,thriller, crime, drama, romance, action,,,,,,
