ID,genres
684,romance
684,action
685,action
685,music
685,western
686,documentation
686,comedy
687,western
687,action
687,romance
688,western
688,action
689,western
689,action
689,drama
689,music
690,western
691,western
691,action
691,crime
691,drama
691,music
691,comedy
692,romance
692,comedy
692,drama
693,action
693,drama
693,romance
694,drama
694,action
696,western
696,action
697,western
697,drama
697,music
697,action
697,comedy
698,western
698,comedy
698,music
698,action
699,scifi
699,action
699,drama
699,romance
700,western
701,western
701,comedy
701,music
701,romance
701,action
702,western
702,action
702,drama
702,music
702,romance
703,crime
703,action
703,drama
703,romance
704,western
704,history
704,war
705,drama
705,action
706,western
707,western
708,drama
708,crime
709,drama
710,romance
710,drama
710,sport
710,family
711,thriller
711,action
711,crime
711,drama
712,comedy
712,thriller
713,western
713,action
714,western
714,action
714,music
714,romance
714,war
715,comedy
716,drama
716,history
717,drama
717,romance
718,drama
718,action
718,western
718,romance
719,drama
719,crime
720,drama
720,romance
721,drama
721,crime
722,thriller
722,crime
722,drama
723,drama
723,romance
724,drama
725,thriller
725,romance
725,comedy
725,crime
726,western
726,drama
726,action
727,western
728,western
728,romance
728,action
728,crime
729,drama
729,crime
730,action
730,romance
730,crime
731,comedy
731,romance
732,documentation
733,western
733,drama
733,music
733,action
734,western
735,drama
735,crime
735,romance
735,thriller
736,drama
736,music
736,romance
737,drama
737,romance
737,comedy
737,crime
738,drama
738,crime
739,western
739,crime
739,romance
739,action
740,comedy
740,romance
741,western
742,western
743,action
743,crime
743,romance
744,western
744,comedy
744,drama
744,action
745,western
746,crime
746,drama
747,western
747,drama
747,romance
748,thriller
748,action
748,crime
748,romance
749,drama
749,western
749,action
750,western
750,action
751,action
752,thriller
753,action
753,western
753,romance
754,western
754,romance
754,action
755,western
755,drama
755,romance
755,action
756,western
756,comedy
756,drama
756,action
756,music
757,drama
758,western
758,romance
759,comedy
759,music
760,thriller
760,crime
760,drama
761,drama
761,comedy
762,drama
762,music
763,western
763,music
763,comedy
763,drama
763,action
764,crime
764,drama
765,western
765,action
765,music
765,romance
766,drama
766,crime
766,action
767,drama
767,action
767,comedy
767,crime
768,western
768,action
768,romance
769,thriller
769,crime
769,romance
770,drama
771,western
771,romance
771,drama
771,action
772,crime
772,action
772,drama
773,western
773,action
773,music
773,comedy
774,western
775,comedy
775,drama
776,drama
777,comedy
778,action
778,western
779,thriller
779,crime
779,drama
779,romance
779,action
780,western
780,action
780,music
780,comedy
781,crime
781,romance
781,action
781,drama
782,western
782,romance
782,action
783,romance
783,comedy
784,drama
785,western
785,action
786,crime
786,thriller
786,drama
787,comedy
788,action
788,western
789,western
789,action
790,drama
790,romance
790,comedy
791,drama
792,drama
793,action
793,drama
793,romance
793,sport
794,western
794,music
794,romance
794,action
795,western
795,comedy
795,crime
795,action
796,drama
797,comedy
797,romance
797,action
798,comedy
798,drama
799,western
799,action
799,crime
800,action
800,western
800,comedy
801,western
801,romance
801,action
801,drama
802,western
802,drama
803,drama
803,comedy
804,western
804,music
804,romance
804,action
805,western
805,romance
805,action
805,drama
806,thriller
806,crime
806,drama
807,western
807,comedy
807,music
807,action
808,comedy
808,romance
809,comedy
809,music
810,thriller
810,drama
810,action
810,crime
811,western
811,music
811,action
812,western
812,music
812,action
813,western
813,drama
813,romance
814,western
814,music
814,action
814,comedy
815,thriller
815,romance
815,action
815,crime
816,western
817,western
817,drama
817,action
817,comedy
818,drama
819,western
819,music
820,western
820,romance
820,action
821,western
821,music
822,western
822,action
822,romance
822,animation
823,music
823,comedy
824,western
824,music
824,action
825,western
825,action
825,comedy
826,drama
827,drama
827,action
828,comedy
828,crime
828,drama
828,music
829,western
829,romance
829,action
829,drama
829,music
830,western
831,western
831,comedy
831,drama
831,music
831,action
832,drama
833,crime
833,romance
833,drama
834,western
834,action
835,western
835,action
835,music
835,romance
836,comedy
836,music
836,romance
837,western
837,romance
837,music
837,action
838,comedy
838,music
839,western
839,action
839,music
839,romance
840,drama
841,western
841,action
841,history
841,romance
842,drama
843,comedy
843,romance
843,crime
843,drama
844,western
844,music
844,action
845,western
846,western
846,action
847,crime
847,drama
848,western
848,action
848,music
848,romance
850,drama
850,action
850,romance
850,thriller
851,drama
851,comedy
851,crime
851,music
851,romance
852,western
853,western
853,music
853,action
854,western
854,action
854,crime
855,western
855,action
855,romance
856,action
856,romance
856,western
857,comedy
857,romance
857,war
857,music
858,western
858,crime
858,music
858,romance
858,action
859,drama
859,crime
860,crime
860,drama
861,drama
861,romance
862,western
862,music
862,action
863,western
863,romance
863,comedy
863,music
864,drama
865,documentation
866,western
867,drama
867,crime
867,western
867,romance
868,western
868,drama
868,action
868,crime
869,romance
869,war
869,action
870,western
870,action
870,comedy
870,drama
870,music
871,western
871,music
871,romance
871,action
872,western
873,drama
873,romance
873,action
873,western
874,western
874,action
874,romance
875,comedy
876,action
876,crime
876,romance
877,romance
877,action
877,western
878,documentation
878,war
879,drama
879,action
880,crime
880,thriller
881,thriller
881,sport
881,crime
881,romance
882,action
882,thriller
883,drama
883,western
884,western
885,crime
885,drama
886,drama
887,comedy
887,romance
887,action
887,music
888,western
888,action
888,music
888,animation
889,western
889,action
890,western
890,action
890,music
891,western
891,romance
891,action
892,comedy
892,drama
892,music
892,romance
893,action
893,romance
893,thriller
893,drama
894,comedy
895,drama
895,romance
896,romance
896,action
896,comedy
896,drama
897,drama
897,action
897,crime
898,western
899,drama
899,comedy
899,music
899,romance
900,comedy
900,drama
900,romance
900,action
901,western
901,action
902,drama
902,crime
903,western
903,comedy
904,crime
904,drama
904,romance
904,war
905,western
905,history
905,romance
905,war
906,sport
906,animation
906,action
906,drama
906,romance
907,action
907,romance
907,thriller
907,war
907,crime
908,crime
908,romance
908,drama
908,history
908,war
909,western
910,drama
910,romance
910,crime
911,western
911,music
911,action
912,comedy
912,action
913,comedy
913,crime
913,romance
914,western
914,action
915,western
915,action
915,romance
915,drama
917,comedy
917,romance
917,music
918,crime
918,action
918,drama
918,romance
919,drama
919,romance
920,action
920,thriller
921,western
922,crime
922,drama
923,western
923,drama
923,romance
923,action
924,western
924,music
924,action
925,drama
925,romance
926,crime
926,drama
926,war
926,romance
927,drama
927,romance
927,crime
927,comedy
928,thriller
928,crime
929,action
929,western
929,drama
929,romance
930,western
930,action
930,romance
931,western
931,music
931,romance
931,action
932,drama
932,action
932,romance
933,drama
934,western
934,action
934,romance
935,drama
935,romance
936,drama
936,crime
936,romance
937,crime
937,romance
937,drama
937,comedy
938,drama
939,western
939,music
939,action
940,western
941,documentation
941,action
942,western
942,action
942,romance
943,western
943,action
944,western
945,western
945,comedy
945,drama
945,romance
945,action
946,music
947,western
947,action
947,music
947,romance
947,comedy
948,crime
948,drama
948,romance
949,western
949,action
950,war
950,documentation
950,action
951,western
951,action
951,romance
952,action
952,music
952,romance
952,crime
953,western
953,action
953,crime
954,western
955,western
955,romance
955,action
956,comedy
957,comedy
957,family
958,horror
958,thriller
959,drama
959,sport
960,drama
960,thriller
961,comedy
961,drama
961,romance
962,thriller
962,crime
963,romance
963,comedy
963,drama
963,european
964,drama
964,comedy
964,romance
965,horror
965,scifi
966,thriller
966,crime
966,action
967,drama
967,history
968,thriller
968,crime
968,european
969,music
969,documentation
970,fantasy
970,music
970,family
971,crime
971,drama
971,comedy
972,crime
972,drama
972,thriller
972,romance
973,drama
973,romance
974,thriller
974,action
974,drama
975,crime
975,comedy
975,action
976,drama
976,documentation
976,history
977,thriller
977,action
977,crime
977,drama
978,drama
979,drama
979,war
980,romance
980,comedy
980,drama
981,scifi
981,animation
981,action
981,comedy
981,crime
982,action
982,scifi
982,comedy
982,fantasy
982,european
983,thriller
983,comedy
983,romance
984,scifi
984,romance
984,thriller
984,drama
984,fantasy
984,horror
985,drama
985,comedy
985,family
985,animation
986,romance
986,comedy
987,documentation
988,comedy
989,drama
989,comedy
990,thriller
990,romance
990,crime
990,drama
991,horror
991,thriller
991,crime
991,drama
992,thriller
992,drama
993,action
993,family
993,scifi
994,crime
994,thriller
994,action
994,comedy
994,drama
995,comedy
996,comedy
996,drama
996,animation
997,thriller
997,crime
997,horror
997,drama
998,scifi
998,action
998,thriller
999,comedy
1000,horror
1001,fantasy
1001,romance
1001,sport
1001,comedy
1001,european
1002,thriller
1002,action
1002,crime
1003,thriller
1003,action
1003,drama
1003,romance
1004,thriller
1004,drama
1004,war
1005,drama
1005,european
1005,history
1006,horror
1006,scifi
1006,drama
1006,european
1007,thriller
1007,horror
1008,crime
1008,romance
1008,comedy
1009,western
1009,european
1009,drama
1009,war
1010,thriller
1010,action
1010,drama
1011,drama
1011,comedy
1012,drama
1012,western
1012,romance
1012,documentation
1012,action
1013,horror
1013,scifi
1013,thriller
1014,horror
1014,comedy
1014,scifi
1014,thriller
1015,romance
1015,comedy
1015,sport
1016,horror
1016,comedy
1017,documentation
1018,western
1018,comedy
1018,drama
1019,action
1019,drama
1019,history
1019,war
1020,action
1020,drama
1021,drama
1021,comedy
1021,family
1022,thriller
1022,scifi
1023,thriller
1023,action
1023,drama
1023,war
1024,animation
1024,horror
1024,drama
1024,fantasy
1025,thriller
1025,war
1025,european
1026,crime
1026,drama
1026,comedy
1026,sport
1027,action
1027,drama
1027,history
1027,war
1028,crime
1028,comedy
1028,drama
1029,comedy
1029,music
1030,comedy
1030,family
1030,fantasy
1030,animation
1031,crime
1031,thriller
1031,drama
1032,thriller
1032,action
1032,crime
1033,drama
1033,romance
1034,comedy
1034,family
1035,horror
1035,crime
1036,fantasy
1036,horror
1037,horror
1038,drama
1038,thriller
1038,european
1038,crime
1039,drama
1040,drama
1040,history
1040,european
1041,documentation
1041,sport
1042,horror
1042,thriller
1043,comedy
1043,action
1043,crime
1043,drama
1043,romance
1044,western
1044,drama
1044,romance
1045,comedy
1045,drama
1045,romance
1046,comedy
1047,crime
1047,thriller
1047,action
1048,fantasy
1048,comedy
1049,scifi
1049,horror
1049,european
1049,family
1049,action
1050,action
1050,drama
1051,drama
1052,drama
1052,sport
1053,comedy
1053,family
1054,horror
1054,scifi
1054,thriller
1055,fantasy
1055,comedy
1055,romance
1055,sport
1056,drama
1057,comedy
1057,western
1057,european
1058,drama
1058,crime
1058,romance
1059,drama
1059,sport
1060,comedy
1060,drama
1061,horror
1061,thriller
1062,drama
1062,thriller
1062,war
1062,european
1063,drama
1063,crime
1063,romance
1064,western
1064,romance
1064,comedy
1065,family
1065,drama
1066,horror
1066,thriller
1066,drama
1067,drama
1067,romance
1068,action
1068,drama
1068,thriller
1068,war
